name,description,latitude,longitude,image_url,significance
Arulmigu Dhandayuthapani Temple,"The Arulmigu Dhandayuthapani Temple in Palani is dedicated to Lord Murugan and is one of the six abodes of Lord Murugan in Tamil Nadu. Known for its scenic location on a hill, the temple has a rich history and offers a serene experience for pilgrims. It is a significant pilgrimage site in the region.",10.4642,77.5196,image1.jfif,"Arulmigu Dhandayuthapani Temple
- Speciality: The Arulmigu Dhandayuthapani Temple in Palani is dedicated to Lord Murugan and is one of the six abodes of Lord Murugan in Tamil Nadu.
- Darshan Timings: Typically from 6:00 AM to 12:00 PM and 4:00 PM to 8:30 PM (may vary).
- How to Reach: Located in Tamil Nadu. Nearest railway station and airport available based on region.
- Why Visit: Rich in cultural heritage, spiritual ambiance, and stunning architecture. Ideal for devotees and history enthusiasts."
Thillai Nataraja Temple,"Located in Chidambaram, the Thillai Nataraja Temple is dedicated to Lord Shiva, in his Nataraja form. Known for its exquisite architecture and historical significance, this temple is an important center of Tamil culture and one of the five Pancha Bhoota Sthalas, representing the element of 'Space.'",11.3967,79.6939,image2.jfif,"Thillai Nataraja Temple
- Speciality: Located in Chidambaram, the Thillai Nataraja Temple is dedicated to Lord Shiva, in his Nataraja form.
- Darshan Timings: Typically from 6:00 AM to 12:00 PM and 4:00 PM to 8:30 PM (may vary).
- How to Reach: Located in Tamil Nadu. Nearest railway station and airport available based on region.
- Why Visit: Rich in cultural heritage, spiritual ambiance, and stunning architecture. Ideal for devotees and history enthusiasts."
Kanchi Kamakshi Temple,"Situated in Kanchipuram, the Kamakshi Temple is dedicated to the goddess Kamakshi, a form of Parvati. The temple is famous for its serene atmosphere and architectural brilliance. This ancient temple, built during the Pallava dynasty, is an important religious and cultural landmark.",12.8333,79.7,image3.jfif,"Kanchi Kamakshi Temple
- Speciality: Situated in Kanchipuram, the Kamakshi Temple is dedicated to the goddess Kamakshi, a form of Parvati.
- Darshan Timings: Typically from 6:00 AM to 12:00 PM and 4:00 PM to 8:30 PM (may vary).
- How to Reach: Located in Tamil Nadu. Nearest railway station and airport available based on region.
- Why Visit: Rich in cultural heritage, spiritual ambiance, and stunning architecture. Ideal for devotees and history enthusiasts."
Airavatesvara Temple,"Located in Darasuram, the Airavatesvara Temple is a UNESCO World Heritage Site. Built by the Chola dynasty, it is dedicated to Lord Shiva. The temple is renowned for its fine architecture, carvings, and unique sculptural art, reflecting the grandeur of the Chola period.",10.9933,79.2931,image4.jfif,"Airavatesvara Temple
- Speciality: Located in Darasuram, the Airavatesvara Temple is a UNESCO World Heritage Site.
- Darshan Timings: Typically from 6:00 AM to 12:00 PM and 4:00 PM to 8:30 PM (may vary).
- How to Reach: Located in Tamil Nadu. Nearest railway station and airport available based on region.
- Why Visit: Rich in cultural heritage, spiritual ambiance, and stunning architecture. Ideal for devotees and history enthusiasts."
Ranganathaswamy Temple,"Situated in Srirangam, the Ranganathaswamy Temple is one of the largest functioning temple complexes in India. Dedicated to Lord Vishnu, the temple is a key pilgrimage site and is known for its 21 towering gopurams, ancient history, and spiritual importance.",10.8265,78.704,image5.jfif,"Ranganathaswamy Temple
- Speciality: Situated in Srirangam, the Ranganathaswamy Temple is one of the largest functioning temple complexes in India.
- Darshan Timings: Typically from 6:00 AM to 12:00 PM and 4:00 PM to 8:30 PM (may vary).
- How to Reach: Located in Tamil Nadu. Nearest railway station and airport available based on region.
- Why Visit: Rich in cultural heritage, spiritual ambiance, and stunning architecture. Ideal for devotees and history enthusiasts."
Jambukeswarar Temple,"Located in Thiruvanaikaval, near Trichy, the Jambukeswarar Temple is dedicated to Lord Shiva in the form of Jambukeswarar and is one of the five Pancha Bhoota Sthalas, representing the element of water. The temple is renowned for its beautiful architecture and serene atmosphere.",10.8212,78.7031,image6.jfif,"Jambukeswarar Temple
- Speciality: Located in Thiruvanaikaval, near Trichy, the Jambukeswarar Temple is dedicated to Lord Shiva in the form of Jambukeswarar and is one of the five Pancha Bhoota Sthalas, representing the element of water.
- Darshan Timings: Typically from 6:00 AM to 12:00 PM and 4:00 PM to 8:30 PM (may vary).
- How to Reach: Located in Tamil Nadu. Nearest railway station and airport available based on region.
- Why Visit: Rich in cultural heritage, spiritual ambiance, and stunning architecture. Ideal for devotees and history enthusiasts."
Chidambaram Nataraja Temple,"The Chidambaram Nataraja Temple in Chidambaram is dedicated to Lord Shiva in his Nataraja form. Known for its grand architecture and historical significance, the temple is one of the most important Shaivaite temples in India. The temple complex also features the famed golden hall.",11.396,79.6937,image7.jfif,"Chidambaram Nataraja Temple
- Speciality: The Chidambaram Nataraja Temple in Chidambaram is dedicated to Lord Shiva in his Nataraja form.
- Darshan Timings: Typically from 6:00 AM to 12:00 PM and 4:00 PM to 8:30 PM (may vary).
- How to Reach: Located in Tamil Nadu. Nearest railway station and airport available based on region.
- Why Visit: Rich in cultural heritage, spiritual ambiance, and stunning architecture. Ideal for devotees and history enthusiasts."
Meenakshi Amman Temple,"One of the most celebrated temples in Tamil Nadu, the Meenakshi Amman Temple in Madurai is dedicated to Goddess Meenakshi and Lord Sundareshwar. Known for its architectural grandeur and historical importance, this temple is one of the holiest places for Hindus.",9.9195,78.1197,image8.jfif,"Meenakshi Amman Temple
- Speciality: One of the most celebrated temples in Tamil Nadu, the Meenakshi Amman Temple in Madurai is dedicated to Goddess Meenakshi and Lord Sundareshwar.
- Darshan Timings: Typically from 6:00 AM to 12:00 PM and 4:00 PM to 8:30 PM (may vary).
- How to Reach: Located in Tamil Nadu. Nearest railway station and airport available based on region.
- Why Visit: Rich in cultural heritage, spiritual ambiance, and stunning architecture. Ideal for devotees and history enthusiasts."
Sripuram Golden Temple,"Located in Vellore, the Sripuram Golden Temple is a modern spiritual and architectural marvel. The temple is dedicated to Goddess Lakshmi and is covered in 1500 kilograms of gold, making it one of the most famous temples in the country.",12.9333,79.1,image9.jfif,"Sripuram Golden Temple
- Speciality: Located in Vellore, the Sripuram Golden Temple is a modern spiritual and architectural marvel.
- Darshan Timings: Typically from 6:00 AM to 12:00 PM and 4:00 PM to 8:30 PM (may vary).
- How to Reach: Located in Tamil Nadu. Nearest railway station and airport available based on region.
- Why Visit: Rich in cultural heritage, spiritual ambiance, and stunning architecture. Ideal for devotees and history enthusiasts."
Tiruvarur Thyagaraja Temple,"The Tiruvarur Thyagaraja Temple is located in Tiruvarur and is dedicated to Lord Thyagaraja, a form of Lord Shiva. It is a prominent temple in the Tamil Shaivaite tradition, famous for its temple festival and cultural importance, especially in the realm of classical music.",10.7941,79.299,image10.jfif,"Tiruvarur Thyagaraja Temple
- Speciality: The Tiruvarur Thyagaraja Temple is located in Tiruvarur and is dedicated to Lord Thyagaraja, a form of Lord Shiva.
- Darshan Timings: Typically from 6:00 AM to 12:00 PM and 4:00 PM to 8:30 PM (may vary).
- How to Reach: Located in Tamil Nadu. Nearest railway station and airport available based on region.
- Why Visit: Rich in cultural heritage, spiritual ambiance, and stunning architecture. Ideal for devotees and history enthusiasts."
